Title,URL,Abstract,Year
Interface-induced dual-pinning mechanism enhances low-frequency electromagnetic wave loss,https://www.nature.com/articles/s41467-024-47537-5,"Improving the absorption of electromagnetic waves at low-frequency bands (2-8 GHz) is crucial for the increasing electromagnetic (EM) pollution brought about by the innovation of the fifth generation (5G) communication technology. However, the poor impedance matching and intrinsic attenuation of material in low-frequency bands hinders the development of low-frequency electromagnetic wave absorbing (EMWA) materials. Here we propose an interface-induced dual-pinning mechanism and establish a magnetoelectric bias interface by constructing bilayer core-shell structures of NiFe2O4(NFO)@BiFeO3(BFO)@polypyrrole (PPy). Such heterogeneous interface could induce distinct magnetic pinning of the magnetic moment in the ferromagnetic NFO and dielectric pinning of the dipole rotation in PPy. The establishment of the dual-pinning effect resulted in optimized impedance and enhanced attenuation at low-frequency bands, leading to better EMWA performance. The minimum reflection loss (RLmin) at thickness of 4.43 mm reaches -65.30 dB (the optimal absorption efficiency of 99.99997%), and the effective absorption bandwidth (EAB) can almost cover C-band (4.72 ~ 7.04 GHz) with low filling of 15.0 wt.%. This work proposes a mechanism to optimize low-frequency impedance matching with electromagnetic wave (EMW) loss and pave an avenue for the research of high-performance low-frequency absorbers.",2024
Fractionation of Cell Suspensions in an Electromagnetic Force Field,https://www.nature.com/articles/182510a0,"Kolin, A.,Science,117, 134 (1953).ArticleADSCASGoogle ScholarLeenov, D., and Kolin, A.,J. Chem. Phys.,22, 683 (1954).ArticleADSCASGoogle ScholarKolin, A., Leenov, D., and Lichten, W.,Biochim. et Biophys. Acta(in the press).Kolin, A.,J. Chem. Phys.,22, 1628 (1954).ArticleADSCASGoogle ScholarKolin, A.,J. Appl. Phys.,25, 683 (1954).ArticleADSMathSciNetGoogle ScholarDownload references",1958
Focusing the electromagnetic field to 10−6λfor ultra-high enhancement of field-matter interaction,https://www.nature.com/articles/s41467-021-26662-5,"Focusing electromagnetic field to enhance the interaction with matter has been promoting researches and applications of nano electronics and photonics. Usually, the evanescent-wave coupling is adopted in various nano structures and materials to confine the electromagnetic field into a subwavelength space. Here, based on the direct coupling with confined electron oscillations in a nanowire, we demonstrate a tight localization of microwave field down to 10−6λ. A hybrid nanowire-bowtie antenna is further designed to focus the free-space microwave to this deep-subwavelength space. Detected by the nitrogen vacancy center in diamond, the field intensity and microwave-spin interaction strength are enhanced by 2.0 × 108and 1.4 × 104times, respectively. Such a high concentration of microwave field will further promote integrated quantum information processing, sensing and microwave photonics in a nanoscale system.",2021
Nondiffracting supertoroidal pulses and optical “Kármán vortex streets”,https://www.nature.com/articles/s41467-024-48927-5,"Supertoroidal light pulses, as space-time nonseparable electromagnetic waves, exhibit unique topological properties including skyrmionic configurations, fractal-like singularities, and energy backflow in free space, which however do not survive upon propagation. Here, we introduce the non-diffracting supertoroidal pulses (NDSTPs) with propagation-robust skyrmionic and vortex field configurations that persists over arbitrary propagation distances. Intriguingly, the field structure of NDSTPs has a similarity with the von Kármán vortex street, a pattern of swirling vortices in fluid and gas dynamics with staggered singularities that can stably propagate forward. NDSTPs will be of interest as directed channels for information and energy transfer applications.",2024
An electromagnetic field disrupts negative geotaxis inDrosophilavia a CRY-dependent pathway,https://www.nature.com/articles/ncomms5391,"Many higher animals have evolved the ability to use the Earth’s magnetic field, particularly for orientation.Drosophila melanogasteralso respond to electromagnetic fields (EMFs), although the reported effects are quite modest. Here we report that negative geotaxis in flies, scored as climbing, is disrupted by a static EMF, and this is mediated by cryptochrome (CRY), the blue-light circadian photoreceptor. CRYs may sense EMFs via formation of radical pairs of electrons requiring photoactivation of flavin adenine dinucleotide (FAD) bound near a triad of Trp residues, but mutation of the terminal Trp in the triad maintains EMF responsiveness in climbing. In contrast, deletion of the CRY C terminus disrupts EMF responses, indicating that it plays an important signalling role. CRY expression in a subset of clock neurons, or the photoreceptors, or the antennae, is sufficient to mediate negative geotaxis and EMF sensitivity. Climbing therefore provides a robust and reliable phenotype for studying EMF responses inDrosophila.",2014
Resolving the electromagnetic mechanism of surface-enhanced light scattering at single hot spots,https://www.nature.com/articles/ncomms1674,"Light scattering at nanoparticles and molecules can be dramatically enhanced in the 'hot spots' of optical antennas, where the incident light is highly concentrated. Although this effect is widely applied in surface-enhanced optical sensing, spectroscopy and microscopy, the underlying electromagnetic mechanism of the signal enhancement is challenging to trace experimentally. Here we study elastically scattered light from an individual object located in the well-defined hot spot of single antennas, as a new approach to resolve the role of the antenna in the scattering process. We provide experimental evidence that the intensity elastically scattered off the object scales with the fourth power of the local field enhancement provided by the antenna, and that the underlying electromagnetic mechanism is identical to the one commonly accepted in surface-enhanced Raman scattering. We also measure the phase shift of the scattered light, which provides a novel and unambiguous fingerprint of surface-enhanced light scattering.",2012
Electromagnetic forming of AA1060 sheet based on mixed forces generated by a three-coil dual-power system,https://www.nature.com/articles/s41598-023-49590-4,"The electromagnetic force used in electromagnetic forming is mainly divided into attraction and repulsion. Dual-coil attractive electromagnetic forming can be used in the field of sheet pit repair. However, the magnetic field and eddy current generated by the two coils compete with each other, and the energy utilization rate is low. Therefore, a compensation coil is introduced, and an electromagnetic forming scheme of a three-coil dual-power sheet based on mixed force is proposed and verified by simulation. It is found that the three-coil mixed force can effectively improve the competition between the magnetic field and eddy current. The loading of the mixing force is not a simple superposition of attraction and repulsion, but the mutual promotion of the two. The forming displacement of the three-coil mixed force forming scheme is 582% higher than that of the dual-coil attraction forming scheme, and 89% higher than that of the attract first and then repel forming scheme. The forming effect of the three-coil mixing force is related to the number of turns of the compensation coil. The research results can improve the energy utilization rate of electromagnetic forming and provide a new idea for the loading scheme of electromagnetic forming force field.",2024
Magnetic-field tuning of the Casimir force,https://www.nature.com/articles/s41567-024-02521-0,"The quantum fluctuation-induced Casimir force can be either attractive or repulsive, depending on the dielectric permittivities and magnetic permeabilities of the materials involved. However, it is challenging to manipulate the dielectric permittivities of most materials using external fields. In contrast, the magnetic permeabilities of ferrofluids can be readily tuned by magnetic fields, which opens up the possibility of magnetic-field tuning of the Casimir force. Here, we demonstrate that this tuning can be achieved for a gold sphere and a silica plate immersed in water-based ferrofluids. Our theoretical calculations predict that, by varying the magnetic field, separation distance and ferrofluid volume fraction, the Casimir force can be tuned from attractive to repulsive over a wide range of parameters in this system. Experimentally, we develop a cantilever designed to conduct measurements within water-based ferrofluids. Using this setup, we observe the predicted transitions. These findings may lead to the development of switchable micromechanical devices based on the Casimir effect.",2024
Implementing an electromagnetic tracking navigation system improves the precision of endoscopic transgastric necrosectomy in an ex vivo model,https://www.nature.com/articles/s41598-024-60647-w,"Endoscopic transgastric necrosectomy is crucial in the management of complications resulting from necrotizing pancreatitis. However, both real-time and visual-spatial information is lacking during the procedure, thereby jeopardizing a precise positioning of the endoscope. We conducted a proof-of-concept study with the aim of overcoming these technical difficulties. For this purpose, a three-dimensional (3D) phantom of a stomach and pancreatic necroses was 3D-printed based on spatial information from individual patient CT scans and subsequently integrated into a silicone torso. An electromagnetic (EM) sensor was adjusted inside the endoscope´s working channel. A software interface enabled real time visualization. The accuracy of this novel assistant system was tested ex vivo by four experienced interventional endoscopists who were supposed to reach seven targets inside the phantom in six different experimental runs of simulated endoscopic transgastric necrosectomy. Supported by endoscopic camera view combined with real-time 3D visualization, all endoscopists reached the targets with a targeting error ranging between 2.6 and 6.5 mm in a maximum of eight minutes. In summary, the EM tracking system might increase efficacy and safety of endoscopic transgastric necrosectomy at the experimental level by enhancing visualization. Yet, a broader feasibility study and further technical improvements are mandatory before aiming at implementation into clinical setting.",2024
Shaping metallic glasses by electromagnetic pulsing,https://www.nature.com/articles/ncomms10576,"With damage tolerance rivalling advanced engineering alloys and thermoplastic forming capabilities analogous to conventional plastics, metallic glasses are emerging as a modern engineering material. Here, we take advantage of their unique electrical and rheological properties along with the classic Lorentz force concept to demonstrate that electromagnetic coupling of electric current and a magnetic field can thermoplastically shape a metallic glass without conventional heating sources or applied mechanical forces. Specifically, we identify a process window where application of an electric current pulse in the presence of a normally directed magnetic field can ohmically heat a metallic glass to a softened state, while simultaneously inducing a large enough magnetic body force to plastically shape it. The heating and shaping is performed on millisecond timescales, effectively bypassing crystallization producing fully amorphous-shaped parts. This electromagnetic forming approach lays the groundwork for a versatile, time- and energy-efficient manufacturing platform for ultrastrong metals.",2016
Electromagnetic Phenomena of Natural Origin in the 1.0–150 C./S. Band,https://www.nature.com/articles/1771219a0,"Willis, A. F.,Nature,161, 887 (1948).ArticleADSGoogle ScholarAarons, J., and Henissart, M.,Nature,172, 682 (1953).ArticleADSCASGoogle ScholarDownload references",1956
Continuity equation for the flow of Fisher information in wave scattering,https://www.nature.com/articles/s41567-024-02519-8,"Using waves to explore our environment is a widely used paradigm, ranging from seismology to radar technology, and from biomedical imaging to precision measurements. In all these fields, the central aim is to gather as much information as possible about an object of interest by sending a probing wave at it and processing the information delivered back to a detector. Here we demonstrate that an electromagnetic wave scattered at an object carries locally defined and conserved information about all of the object’s constitutive parameters. Specifically, we introduce the density and flux of Fisher information for general types of wave fields and identify the corresponding sources and sinks of information through which all these new quantities satisfy a fundamental continuity equation. We experimentally verify our theoretical predictions by studying a movable object embedded in a disordered environment and by measuring the corresponding Fisher information flux at microwave frequencies. Our results improve the understanding of the generation and propagation of information and open up possibilities for tracking and designing the flow of information even in complex environments.",2024
All electromagnetic scattering bodies are matrix-valued oscillators,https://www.nature.com/articles/s41467-023-43221-2,"Scattering theory is the basis of all linear optical and photonic devices, whose spectral response underpins wide-ranging applications from sensing to energy conversion. Unlike the Shannon theory for communication channels, or the Fano theory for electric circuits, understanding the limits of spectral wave scattering remains a notoriously challenging open problem. We introduce a mathematical scattering representation that inherently embeds fundamental principles of causality and passivity into its elemental degrees of freedom. We use this representation to reveal strong constraints in the mathematical structure of scattered fields, and to develop a general theory of the maximum radiative heat transfer in the near field, resolving a long-standing open question. Our approach can be seamlessly applied to high-interest applications across nanophotonics, and appears extensible to general classical and quantum scattering theory.",2023
A Modified Source Theory of Electromagnetic Propagation,https://www.nature.com/articles/202375a0,"Stephenson, L. M.,Proc. Inst. Elec. Eng., No. 9, 1706 (1963).Cullwick, E. G.,Electromagnetism and Relativity, 78, 230 (Longmans, Green and Co., 1957).MATHGoogle ScholarEpstein, L.,Amer. J. Phys., 913 (December 1963).Download references",1964
Enhanced emergent electromagnetic inductance in Tb5Sb3due to highly disordered helimagnetism,https://www.nature.com/articles/s42005-024-01656-z,"In helimagnetic metals, ac current-driven spin motions can generate emergent electric fields acting on conduction electrons, leading to emergent electromagnetic induction (EEMI). Recent experiments reveal the EEMI signal generally shows a strongly current-nonlinear response. In this study, we investigate the EEMI of Tb5Sb3, a short-period helimagnet. Using small angle neutron scattering we show that Tb5Sb3hosts highly disordered helimagnetism with a distribution of spin-helix periodicity. The current-nonlinear dynamics of the disordered spin helix in Tb5Sb3indeed shows up as the nonlinear electrical resistivity (real part of ac resistivity), and even more clearly as a nonlinear and huge EEMI (imaginary part of ac resistivity) response. The magnitude of the EEMI reaches as large as several tens of μH for Tb5Sb3 devices on the scale of several tens of μm, originating to noncollinear spin textures possibly even without long-range helimagnetic order.",2024
Transverse photon spin of bulk electromagnetic waves in bianisotropic media,https://www.nature.com/articles/s41566-019-0521-4,"Photons possess spin degree of freedom, which plays an important role in various applications such as optical communications, information processing and sensing. In isotropic media, photon spin is aligned with the propagation direction of light, obeying the principle of spin momentum locking. Interestingly, surface waves decaying away from an interface have a photon spin transverse to its propagation, opening exciting opportunities for the observation of spin-dependent excitation in confined systems. Here, we propose and realize transverse photon spin (T-spin) in a bulk medium, without relying on the presence of any interfaces. We show the mapping of the T-spin of surface modes to that of the bulk modes by introducing bianisotropy into the medium. We further discover that the interface between two bianisotropic media of opposite orientations supports edge-dependent propagating modes with tunable cutoff frequencies. Our results provide a new platform for manipulating the spin–orbit interaction of electromagnetic waves.",2019
A Paradox in the Interaction of the Gravitational and Electromagnetic Fields ?,https://www.nature.com/articles/226619a0,The assumption that the extent of the interaction of the electromagnetic and gravitational fields is fundamentally dependent on the frequency of the electromagnetic field is consistent with data on the deflexion of radiation by massive bodies.,1970
Scattering of Electromagnetic Waves by Atmospheric Turbulence: Scattering of Short Radio Waves by Atmospheric Turbulence,https://www.nature.com/articles/1661102a0,"Katzin, M., Bauchman, R. W., and Binnian, W.,Proc. Inst. Rad. Eng.,35, 891 (1947).Google ScholarRocco, M. D., and Smyth, J. B.,Proc. Inst. Rad. Eng.,37, 1195 (1949).Google ScholarPekeris, C. L.,Proc. Inst. Rad. Eng.,35, 453 (1947).Google ScholarMegaw, E. C. S. (see preceding communication).Booker, H. G., and Gordon, W. E.,Proc. Inst. Rad. Eng.,38, 401 (1950).Google ScholarPekeris, C. L.,Phys. Rev.,71, 268 (1947).ArticleADSGoogle ScholarBullington, K.,Proc. Inst. Rad. Eng.,38, 27 (1950).Google ScholarDownload references",1950
Light makes atoms behave like electromagnetic coils,https://www.nature.com/articles/d41586-024-00889-w,"Basini, M.et al.Nature628, 534–539 (2024).ArticleGoogle ScholarDavies, C. S.et al.Nature628, 540–544 (2024).ArticleGoogle ScholarEinstein, A. & de Haas, W. J.Proc. K. Ned. Akad. Wet.18, 696–711 (1915).Google ScholarZhang, L. & Niu, Q.Phys. Rev. Lett.112, 085503 (2014).ArticleGoogle ScholarGaranin, D. A. & Chudnovsky, E. M.Phys. Rev. B92, 024421 (2015).ArticleGoogle ScholarDornes, C.et al.Nature565, 209–212 (2019).ArticlePubMedGoogle ScholarTauchert, S. R.et al.Nature602, 73–77 (2022).ArticlePubMedGoogle ScholarBarnett, S. J.Phys. Rev.6, 239–270 (1915).ArticleGoogle ScholarJuraschek, D. M., Fechner, M., Balatsky, A. V. & Spaldin, N. A.Phys. Rev. Mater.1, 014401 (2017).ArticleGoogle ScholarNova, T. F.et al.Nature Phys.13, 132–137 (2017).ArticleGoogle ScholarJuraschek, D. M., Neuman, T. & Narang, P.Phys. Rev. Res.4, 013129 (2022).ArticleGoogle ScholarLuo, J.et al.Science382, 698–702 (2023).ArticleGoogle ScholarChaudhary, S., Juraschek, D. M., Rodriguez-Vega, M. & Fiete, G. A. Preprint athttps://arxiv.org/abs/2306.11630(2023).Geilhufe, R. M. & Hergert, W.Phys. Rev. B107, L020406 (2023).ArticleGoogle ScholarZhang, X.-W., Ren, Y., Wang, C., Cao, T. & Xiao, D.Phys. Rev. Lett.130, 226302 (2023).ArticlePubMedGoogle ScholarUeda, H.et al.Nature618, 946–950 (2023).ArticlePubMedGoogle ScholarDownload references",2024
Narrowband electromagnetic emissions from Jupiter's magnetosphere,https://www.nature.com/articles/302385a0,"Recent studies of wideband plasma wave data from Voyagers 1 and 2 have revealed the existence of narrowband radio emissions escaping from Jupiter's magnetosphere in the frequency range 1–12 kHz. These narrowband emissions are very similar to narrowband emissions previously discovered near Earth and Saturn, and are believed to be produced by mode conversion from locally generated upper hybrid resonance waves at odd half-integral harmonics of the electron cyclotron frequency. This mode conversion process is believed to be one of the basic mechanisms for generating planetary radio emissions.",1983
Phytotoxicity of a UHF Electromagnetic Field,https://www.nature.com/articles/241291a0,"IT is known that ultra-high frequency (UHF) fields are selectively toxic to plants and seeds1, but the reasons for this have not been investigated. We have studied the way in which the toxicity of a UHF field is related to various parameters of seeds by observing the effect of the radiation on germination.",1973
A Relativity-predicted Mechanical Effect in the Electromagnetic Field,https://www.nature.com/articles/111325a0,"THE present writer would certainly starve if his bread depended on supplying a certain experimental verification here asked for. It should, however, be mere Boys' play to those who measure the gravitational constant with a little pile of sovereigns and a quartz fibre, or who photograph the wake of a flying bullet. The mathematical argument leading to the prediction indicated below is sent to England by the mail carrying this letter, for publication, but I cannot say where and when it will appear.",1923
A Spherically Symmetrical Non-Static Electromagnetic Field,https://www.nature.com/articles/159642a0,"WE have recently found the most general non-static solution of spherical symmetry satisfying the relativistic equations of electromagnetism, namely, in the usual notation1. The line element is The surviving components of the tensorTÂµÎ½are four: Both Ï and ƒ(m) are arbitrary. We note thatmis conserved along a line of flow.",1947
Electromagnetic Level-Shift and Effect of Radiation Field,https://www.nature.com/articles/162143b0,"THE brilliant experiment of Lamb and Retherford1has conclusively demonstrated that in the hydrogen atom the 2S-level is higher than the 2P1/2-level by about 10 megacycles, a result which reveals a breakdown of the Dirac equation of the electron when applied even to the simplest of the atoms. In a fundamental paper, Bethe2has given an explanation of the observed level-shift on the assumption that the transverse self-energy of the electron, in general, depends on the state in which the electron is.",1948
Application of the Hall Effect in a Semi-conductor to the Measurement of Power in an Electromagnetic Field,https://www.nature.com/articles/173041a0,"IT is well known that if, in a piece of semi-conductor such as germanium or silicon, a magnetic field is set up along thez-axis, as defined by a Cartesian coordinate system, with current flow at right angles along they-axis, then an electromotive force appears, due to the Hall effect1along thex-axis. This electromotive force at any instant is given by:whereBis instantaneous flux density in gauss;Icis instantaneous current in amperes ;Ris Hall coefficient in volt. cm. per ampere gauss (for ‘n’ type germaniumRhas a value of about 8 × 10−5) ; andtis thickness in cm. along thez-axis of the sample of material exhibiting the Hall effect. The particular virtue of a semi-conductor like germanium or silicon for this purpose is that it possesses a comparatively large Hall coefficient and allows a substantial penetration of the field into the material even at ultra-high frequencies.",1954
Importance of antennae for orientation of insects in a non-uniform microwave electromagnetic field,https://www.nature.com/articles/260522a0,"MICROWAVES can affect living organisms in different ways1. Radiation of high intensity is lethal, due to the thermal effect on the living tissues. Different organs are selectively sensitive both in vertebrates2and in insects3. Behavioural studies with rats have demonstrated that, in a choice situation, the animals will respond to an electromagnetic field of a rather low intensity, by leaving it4. Our investigations revealed that insects respond to the intensity gradient of a non-uniform microwave electromagnetic field in a similar way. In an arena illuminated by a non-uniform field insects carry out oriented movements avoiding the regions which are more intensely illuminated. In this paper we analyse the involvement of antennae in the orientation mechanisms underlying the avoidance response.",1976
